customer_id,name,gender,birthdate,membership_date
1,佐藤 零,M,1976-08-03,2022-02-02
2,山口 知実,M,1966-03-24,2021-04-27
3,鈴木 裕美子,F,1985-04-11,2020-09-08
4,山崎 稔,M,1954-07-13,2022-08-14
5,佐藤 あすか,M,1989-01-22,2021-08-28
6,伊藤 学,M,1969-03-02,2021-01-13
7,斎藤 香織,M,1940-06-26,2022-10-12
8,太田 裕美子,M,1957-06-27,2021-08-09
9,後藤 幹,F,1987-04-19,2020-11-11
10,山田 さゆり,M,1985-01-27,2021-11-05
11,吉田 桃子,M,1999-07-09,2021-01-30
12,後藤 康弘,M,1999-07-13,2022-11-12
13,佐藤 あすか,M,1996-06-08,2021-04-21
14,鈴木 太一,M,1989-04-27,2024-08-26
15,山崎 美加子,M,2006-10-07,2024-09-27
16,加藤 健一,M,1977-02-24,2023-01-26
17,高橋 治,F,1968-11-18,2024-06-11
18,中村 真綾,M,1974-04-27,2020-09-24
19,佐藤 加奈,F,1942-08-03,2021-01-02
20,中島 花子,F,1999-08-12,2021-02-16
21,佐藤 智也,M,2007-06-07,2023-11-12
22,後藤 和也,M,1952-08-27,2021-10-26
23,小林 涼平,F,1973-02-02,2024-03-12
24,岡田 晃,F,1973-02-28,2021-07-04
25,伊藤 康弘,F,1969-09-29,2021-01-19
26,佐藤 くみ子,M,1966-12-22,2023-07-03
27,小林 修平,M,1961-01-20,2020-11-13
28,山田 さゆり,F,1988-01-12,2024-07-06
29,石井 充,M,1971-10-17,2021-01-10
30,山口 明美,M,1941-07-15,2023-01-27
31,藤井 春香,F,1979-09-07,2021-02-07
32,村上 拓真,M,1982-03-12,2025-03-09
33,藤田 零,F,1999-07-16,2021-04-24
34,岡田 香織,F,1984-06-28,2021-02-07
35,山下 治,F,1980-03-16,2023-02-13
36,佐藤 学,M,1991-07-12,2021-08-27
37,清水 健一,F,1971-01-10,2020-08-21
38,小林 淳,M,1940-06-09,2023-08-17
39,中村 結衣,F,1980-02-01,2023-06-14
40,村上 直子,M,1960-03-16,2021-10-20
41,橋本 太一,F,1985-02-01,2024-11-10
42,佐藤 幹,F,1944-12-26,2024-03-22
43,森 結衣,M,1951-05-07,2022-09-30
44,鈴木 陽子,M,1974-03-18,2024-05-11
45,坂本 亮介,M,1942-04-30,2025-05-21
46,松本 舞,M,1974-12-04,2020-11-11
47,中村 零,F,1994-04-14,2024-09-15
48,山口 明美,M,2001-01-15,2025-06-03
49,山田 桃子,M,1972-12-21,2024-05-22
50,藤原 英樹,M,1945-11-20,2020-12-04
51,小林 香織,F,1962-03-20,2025-06-15
52,中村 浩,F,1972-12-11,2020-11-27
53,佐藤 太郎,F,1978-12-01,2025-01-18
54,藤井 稔,F,1946-01-13,2022-07-01
55,長谷川 知実,M,1978-01-15,2021-10-08
56,橋本 明美,F,1983-06-23,2022-05-21
57,橋本 淳,F,1946-04-14,2023-01-02
58,小川 太郎,M,1988-06-20,2023-06-05
59,田中 知実,F,1946-10-25,2023-06-04
60,山下 涼平,M,1941-11-23,2025-03-30
61,吉田 智也,M,1973-07-03,2023-05-13
62,佐々木 美加子,M,1981-02-03,2021-09-30
63,斎藤 結衣,M,1958-08-22,2020-12-07
64,渡辺 英樹,F,1965-11-11,2022-12-04
65,山崎 裕美子,F,1980-04-12,2023-12-18
66,山口 洋介,F,1946-03-05,2021-09-28
67,坂本 直樹,M,1946-10-29,2024-03-19
68,中村 香織,F,1959-09-19,2021-07-08
69,佐々木 桃子,M,1974-09-13,2024-12-29
70,伊藤 里佳,M,2003-10-25,2021-10-22
71,松本 あすか,M,1940-08-01,2022-07-16
72,林 桃子,F,1978-12-08,2021-05-09
73,鈴木 真綾,F,1953-12-30,2025-04-25
74,鈴木 さゆり,F,1975-04-20,2020-06-27
75,中島 知実,M,1995-10-11,2021-11-15
76,山本 知実,M,1977-04-30,2023-11-19
77,中島 篤司,F,1999-03-06,2022-07-18
78,佐藤 京助,M,1963-01-06,2020-08-18
79,佐藤 智也,F,1972-11-15,2024-03-26
80,太田 陽一,F,1986-08-25,2022-08-05
81,小林 結衣,F,1977-08-16,2021-01-31
82,山田 拓真,M,1960-04-18,2020-12-30
83,佐藤 桃子,F,1969-02-06,2020-08-24
84,山本 淳,M,1970-06-28,2022-06-27
85,井上 裕美子,M,1980-03-25,2025-06-17
86,遠藤 修平,F,1943-08-19,2024-10-11
87,高橋 聡太郎,F,1973-06-16,2024-01-06
88,鈴木 拓真,F,1956-10-18,2022-04-09
89,村上 英樹,F,1961-04-02,2022-04-07
90,山崎 さゆり,M,1981-07-10,2025-01-23
91,石川 千代,M,1985-07-27,2023-12-17
92,福田 零,F,1949-10-16,2023-04-18
93,石井 さゆり,M,1951-01-15,2022-05-24
94,伊藤 加奈,M,1959-06-28,2022-02-04
